idInvoice,idEvent,aditionalData,amount,amountPaidAferMatchMatch,amountPaidBeforeMatch,amountToPaidAfterMatch,amountToPaidBeforeMatch,amountToPay,eventDate,eventType,hasMatchAfterMatch,hasMatchBeforeMatch,idTransaction,matchMethod,needReviewAfterMatch,needReviewBeforeMatch,paymentethod,result,stateAfterMatch,stateBeforeMatch
A6FA04584E2B4A2B97891267FECD61FC,d4d91f77-ee1b-42ed-a93b-0f9f92dc0365,{},198352.95,198352.95,198352.95,0,0,198352.95,1.69345E+12,LINK#GRAPH#PAYMENT,true,true,c443bf5848a67463285c7efe27c78265,GRAPH,false,false,PPD,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
A6FA04584E2B4A2B97891267FECD61FC,f096f850-abcc-4d6e-a13d-8a4ae3a5586f,{},198352.95,198352.95,198352.95,0,0,198352.95,1.69328E+12,LINK#GRAPH#PAYMENT,true,true,c443bf5848a67463285c7efe27c78265,GRAPH,false,false,PPD,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
F4A0496C56E248E3998C8D5CDB91712A,2afc71ed-61dc-47e4-b5f9-25f2aa321d8a,{},3970.68,3970.68,0,0,3970.68,3970.68,1.69419E+12,LINK#GRAPH#PAYMENT,true,false,00de2b5b317ea4800e3556f82b440ce1,GRAPH,false,false,PPD,SUCCESS,PAGADA,PENDIENTE
F4A0496C56E248E3998C8D5CDB91712A,9e3720fc-b8d8-4388-bd81-8728bf0fe119,{},3970.68,3970.68,3970.68,0,0,3970.68,1.69447E+12,LINK#GRAPH#PAYMENT,true,true,00de2b5b317ea4800e3556f82b440ce1,GRAPH,false,false,PPD,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
F4A0496C56E248E3998C8D5CDB91712A,ea6ea9db-93ea-4875-aaac-4d05c913d396,{},3970.68,3970.68,3970.68,0,0,3970.68,1.69462E+12,LINK#GRAPH#PAYMENT,true,true,00de2b5b317ea4800e3556f82b440ce1,GRAPH,false,false,PPD,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
FD49457441484C78A16A07287E773026,0ea66b7e-02bd-48fb-b52a-8d7ace6b8da3,{},1738.84,1738.84,1738.84,0,0,1738.84,1.69447E+12,LINK#GRAPH#PAYMENT,true,true,23e0bb3236afcc563b92870e5dacf24c,GRAPH,false,false,PUE,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
FD49457441484C78A16A07287E773026,1e62a3eb-5d03-4848-8da6-ea923c275224,{},1738.84,1738.84,0,0,1738.84,1738.84,1.69419E+12,LINK#GRAPH#PAYMENT,true,false,23e0bb3236afcc563b92870e5dacf24c,GRAPH,false,false,PUE,SUCCESS,PAGADA,PENDIENTE
FD49457441484C78A16A07287E773026,730d2e1a-2718-4fa2-b872-8e32badad41e,{},1738.84,1738.84,1738.84,0,0,1738.84,1.69462E+12,LINK#GRAPH#PAYMENT,true,true,23e0bb3236afcc563b92870e5dacf24c,GRAPH,false,false,PUE,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
1A9DEA3AB3B2411EAE53A81590B52359,0c0de0dc-a3cf-4f9c-8f91-bda985877c88,{},62769.92,62769.92,62769.92,0,0,62769.92,1.69406E+12,LINK#GRAPH#PAYMENT,true,true,e05c5f924e930f609ea4788fb60d815d,GRAPH,false,false,PPD,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
1A9DEA3AB3B2411EAE53A81590B52359,7b2b81ce-9cfd-4668-8c07-3b5eefd427d0,{},62769.92,62769.92,62769.92,0,0,62769.92,1.69328E+12,LINK#GRAPH#PAYMENT,true,true,e05c5f924e930f609ea4788fb60d815d,GRAPH,false,false,PPD,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
1A9DEA3AB3B2411EAE53A81590B52359,7d0deaa6-7645-4594-a26b-a8c938e85077,{},62769.92,62769.92,62769.92,0,0,62769.92,1.69334E+12,LINK#GRAPH#PAYMENT,true,true,e05c5f924e930f609ea4788fb60d815d,GRAPH,false,false,PPD,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
1A9DEA3AB3B2411EAE53A81590B52359,7f765bd1-c768-43e6-a235-7a39d26c9d69,{},62769.92,62769.92,62769.92,0,0,62769.92,1.69345E+12,LINK#GRAPH#PAYMENT,true,true,e05c5f924e930f609ea4788fb60d815d,GRAPH,false,false,PPD,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
1A9DEA3AB3B2411EAE53A81590B52359,873dd3c1-06ef-436e-9414-03d33856d791,{},62769.92,62769.92,62769.92,0,0,62769.92,1.69334E+12,LINK#GRAPH#PAYMENT,true,true,e05c5f924e930f609ea4788fb60d815d,GRAPH,false,false,PPD,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
1A9DEA3AB3B2411EAE53A81590B52359,99c7442c-ae37-414c-ad58-888c09850208,{},62769.92,62769.92,62769.92,0,0,62769.92,1.69328E+12,LINK#GRAPH#PAYMENT,true,true,e05c5f924e930f609ea4788fb60d815d,GRAPH,false,false,PPD,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
1A9DEA3AB3B2411EAE53A81590B52359,e6d2b54c-5b97-4b49-951d-4a5529013429,{},62769.92,62769.92,62769.92,0,0,62769.92,1.69328E+12,LINK#GRAPH#PAYMENT,true,true,e05c5f924e930f609ea4788fb60d815d,GRAPH,false,false,PPD,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
1A9DEA3AB3B2411EAE53A81590B52359,eea54120-a6ea-408e-840d-983b8e83fb9d,{},62769.92,62769.92,62769.92,0,0,62769.92,1.69335E+12,LINK#GRAPH#PAYMENT,true,true,e05c5f924e930f609ea4788fb60d815d,GRAPH,false,false,PPD,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
1A9DEA3AB3B2411EAE53A81590B52359,f856d804-5563-41a3-b9b3-62e73ac00bc9,{},62769.92,62769.92,0,0,62769.92,62769.92,1.69328E+12,LINK#GRAPH#PAYMENT,true,false,e05c5f924e930f609ea4788fb60d815d,GRAPH,false,false,PPD,SUCCESS,PAGADA,PENDIENTE
